{'--batchsize': '8192',
 '--device': '0',
 '--dump-every': '900',
 '--help': False,
 '--nhidden': '256',
 '--nlatent': '16',
 '--runtime': '3600',
 '--time-print': '1',
 '--time-sample': '120',
 '--vae-samples': '10',
 '--vis': None,
 '-o': 'vae_10',
 '<data.mat>': '../data/MSRC12-X-d60.mat'}
Using chainer version 1.22.0
702551 instances, 60 dimensions
256 hidden dimensions
16 latent VAE dimensions
Using 10 VAE samples per instance
Using a batchsize of 8192 instances
   2.2s of 3600.0s  [1] batch 2, E[obj] 146.6125,  7589.63 S/s, 16384 total
   3.9s of 3600.0s  [2] batch 4, E[obj] 127.0828,  9543.06 S/s, 32768 total
   5.6s of 3600.0s  [3] batch 6, E[obj] 95.7790,  9674.46 S/s, 49152 total
   7.3s of 3600.0s  [4] batch 8, E[obj] 65.9364,  9592.52 S/s, 65536 total
   8.9s of 3600.0s  [5] batch 10, E[obj] 54.4231,  9954.07 S/s, 81920 total
   10.6s of 3600.0s  [6] batch 12, E[obj] 42.4014,  9826.88 S/s, 98304 total
   12.2s of 3600.0s  [7] batch 14, E[obj] 34.9705,  9906.89 S/s, 114688 total
   13.9s of 3600.0s  [8] batch 16, E[obj] 29.4987,  9818.75 S/s, 131072 total
   15.6s of 3600.0s  [9] batch 18, E[obj] 27.1180,  9833.54 S/s, 147456 total
   17.3s of 3600.0s  [10] batch 20, E[obj] 23.2368,  9665.68 S/s, 163840 total
   18.9s of 3600.0s  [11] batch 22, E[obj] 25.4653,  9780.49 S/s, 180224 total
   20.6s of 3600.0s  [12] batch 24, E[obj] 21.7844,  9770.71 S/s, 196608 total
   22.3s of 3600.0s  [13] batch 26, E[obj] 20.9769,  9786.79 S/s, 212992 total
   24.0s of 3600.0s  [14] batch 28, E[obj] 17.8967,  9792.23 S/s, 229376 total
   25.6s of 3600.0s  [15] batch 30, E[obj] 15.3936,  9822.23 S/s, 245760 total
   27.3s of 3600.0s  [16] batch 32, E[obj] 12.6689,  9793.01 S/s, 262144 total
   29.0s of 3600.0s  [17] batch 34, E[obj] 11.8131,  9720.75 S/s, 278528 total
   30.7s of 3600.0s  [18] batch 36, E[obj] 10.6667,  9850.69 S/s, 294912 total
   32.3s of 3600.0s  [19] batch 38, E[obj] 10.1789,  9848.38 S/s, 311296 total
   34.0s of 3600.0s  [20] batch 40, E[obj] 6.6130,  9840.18 S/s, 327680 total
   35.7s of 3600.0s  [21] batch 42, E[obj] 12.4766,  9812.89 S/s, 344064 total
   37.4s of 3600.0s  [22] batch 44, E[obj] 14.5101,  9677.20 S/s, 360448 total
   39.0s of 3600.0s  [23] batch 46, E[obj] 28.1730,  9860.33 S/s, 376832 total
   40.7s of 3600.0s  [24] batch 48, E[obj] 4.2110,  9784.02 S/s, 393216 total
   42.4s of 3600.0s  [25] batch 50, E[obj] 12.2203,  9749.50 S/s, 409600 total
   44.1s of 3600.0s  [26] batch 52, E[obj] 5.9290,  9690.48 S/s, 425984 total
   45.7s of 3600.0s  [27] batch 54, E[obj] 5.7151,  9738.50 S/s, 442368 total
   47.4s of 3600.0s  [28] batch 56, E[obj] 0.8934,  9808.31 S/s, 458752 total
   49.1s of 3600.0s  [29] batch 58, E[obj] 6.2785,  9927.27 S/s, 475136 total
   50.7s of 3600.0s  [30] batch 60, E[obj] -1.6008,  9829.18 S/s, 491520 total
   52.4s of 3600.0s  [31] batch 62, E[obj] -3.3691,  9797.57 S/s, 507904 total
   54.1s of 3600.0s  [32] batch 64, E[obj] -5.9260,  9795.62 S/s, 524288 total
   55.8s of 3600.0s  [33] batch 66, E[obj] -4.0590,  9630.60 S/s, 540672 total
   57.5s of 3600.0s  [34] batch 68, E[obj] -8.4004,  9742.42 S/s, 557056 total
   59.1s of 3600.0s  [35] batch 70, E[obj] -10.7329,  9938.90 S/s, 573440 total
   60.8s of 3600.0s  [36] batch 72, E[obj] -12.3346,  9803.10 S/s, 589824 total
   62.5s of 3600.0s  [37] batch 74, E[obj] -8.9766,  9660.99 S/s, 606208 total
   64.2s of 3600.0s  [38] batch 76, E[obj] -14.6413,  9777.85 S/s, 622592 total
   65.8s of 3600.0s  [39] batch 78, E[obj] 7.4534,  9842.74 S/s, 638976 total
   67.5s of 3600.0s  [40] batch 80, E[obj] -12.4913,  9715.40 S/s, 655360 total
   69.2s of 3600.0s  [41] batch 82, E[obj] -7.3619,  9837.28 S/s, 671744 total
   70.8s of 3600.0s  [42] batch 84, E[obj] -12.8910,  9975.65 S/s, 688128 total
   72.5s of 3600.0s  [43] batch 86, E[obj] -10.1329,  9739.42 S/s, 704512 total
   74.1s of 3600.0s  [44] batch 88, E[obj] -12.4281,  10068.88 S/s, 720896 total
   75.8s of 3600.0s  [45] batch 90, E[obj] -8.9628,  9905.53 S/s, 737280 total
   77.4s of 3600.0s  [46] batch 92, E[obj] -16.3426,  9789.98 S/s, 753664 total
