ELBO, KL, Logp, SEM, Encoder Time, Decoder Time, Backward Time 
-5.32246576445,26.2118460234,-1.09919197761,0.0253915465189,0.00265766325451,0.00493693351746,0.0
80.5536009073,15.6459675464,96.199568455,0.0297069416805,0.00319368498666,0.00558156058902,0.0
110.170209476,18.2470794696,128.417288941,0.039469736062,0.00298688525245,0.00533325331552,0.0
126.863942178,22.1564429199,149.020385104,0.0425533418746,0.00301926476615,0.00543661344619,0.0
112.319998146,20.2715707849,132.59156893,0.0356206144161,0.0032840910412,0.00640177726746,0.0
128.229680553,21.7817067981,150.011387351,0.0423829958143,0.0031210127331,0.00557327270508,0.0
140.317610372,22.6612727264,162.978883091,0.0430802264157,0.00309307234628,0.00540162268139,0.0
140.481622647,22.1546745674,162.636297214,0.0425579416195,0.00298972356887,0.00543172018869,0.0
139.036744089,22.2607313911,161.297475484,0.0434019231107,0.00293892905826,0.00524523144677,0.0
147.890928209,22.5636423086,170.454570512,0.0469382767732,0.00349971226283,0.00608731451489,0.0
129.51356831,22.9778855069,152.491453819,0.0442349647327,0.00336455163502,0.00609649930682,0.0
146.416393081,22.7008231021,169.117216184,0.0441361755149,0.0038746992747,0.00686278797331,0.0
