ELBO, KL, Logp, SEM, Encoder Time, Decoder Time, Backward Time 
-357.448173487,35.1898270548,-359.923215699,0.572714878221,0.0468746821086,0.0018425087134,0.0527578393618
-208.670887398,15.8976723792,-209.000570492,0.212653884733,0.00176115830739,0.00128976504008,0.0503994027774
-188.044761385,20.3230621483,-185.876668732,0.224443133398,0.00174848238627,0.00130378206571,0.0588115652402
-166.085855217,23.243145486,-162.539260977,0.212916997736,0.00185590982437,0.00131751100222,0.0401860078176
-150.764120492,25.8159789769,-145.153500435,0.194234812533,0.00177472829819,0.00130185484886,0.0418891310692
-142.735381481,26.2305488986,-135.497193523,0.18261557328,0.00174113114675,0.00127950310707,0.0605810681979
-138.23669219,25.950852886,-129.519544645,0.175795857314,0.00182243188222,0.00132370988528,0.057186683019
-135.310794767,25.5522772333,-125.263622654,0.170795692695,0.00222923358281,0.00169642766317,0.0296680728594
-133.592855823,24.8000127901,-122.484757939,0.167604188651,0.00185606877009,0.00130771597226,0.0527392427127
-132.431181883,23.9332074202,-120.404590737,0.164632945487,0.00195223093033,0.00145549575488,0.0607048869133
-131.631749219,23.3891157431,-118.530587627,0.162348222216,0.00177429119746,0.00131092468898,0.0486821532249
-131.266868325,22.5720283839,-117.072479124,0.160238583634,0.00185052553813,0.00131110350291,0.0439606507619
-130.653286097,21.9535562025,-115.63355963,0.157967066307,0.00177894035975,0.00130170583725,0.0535359779994
-130.236974618,21.5098636336,-114.279910315,0.15606883547,0.0017951130867,0.00129356980324,0.0484877030055
-129.965821578,21.0456728534,-113.104446479,0.154483083013,0.00186427434285,0.00134630997976,0.0324753324191
-129.145493399,20.7719661137,-111.886869199,0.152763924362,0.00182151794434,0.00131595134735,0.0593340198199
-127.9229483,20.9198951201,-110.505687132,0.151239164141,0.0018811027209,0.0013061662515,0.0512030919393
-126.648455363,21.1063621688,-108.905104012,0.149484292961,0.00175933043162,0.00129350026449,0.043095767498
-125.44264421,21.119229964,-107.626156475,0.147752258445,0.00174828370412,0.00129273533821,0.0543484489123
-124.268293862,21.282022736,-106.194361227,0.146321117383,0.00175720453262,0.00130183498065,0.0560838580132
-123.164360896,21.3644938949,-104.925563204,0.145177381198,0.0018106897672,0.00130578875542,0.028182387352
-122.132008814,21.4254253307,-103.734569131,0.143778273963,0.00178953011831,0.00131669640541,0.0508001844088
-121.207361884,21.4240229593,-102.790435075,0.142756071117,0.00183141231537,0.00139323870341,0.0633366505305
-120.400172707,21.5062849117,-101.80091429,0.141677554293,0.00176413853963,0.00128278136253,0.0489761829376
-119.696611332,21.4825083317,-101.042667345,0.140754333314,0.00176006555557,0.00129119555155,0.0361572901408
-118.884597205,21.5596236134,-100.065009496,0.139689636474,0.0018213391304,0.0012899239858,0.0606440901756
-118.204246212,21.5693334632,-99.3309989402,0.138860027032,0.00183069705963,0.00129267573357,0.0531272689501
-117.504591702,21.6093175613,-98.524232795,0.13801306081,0.00175966819127,0.00128585100174,0.0423523386319
-116.876164805,21.5593729671,-97.9138590998,0.137501194454,0.00173149506251,0.00128702322642,0.0572866400083
-116.296401799,21.6178908433,-97.1966800829,0.136794110012,0.00179292758306,0.00134051839511,0.0534080266953
-115.76352927,21.6105699032,-96.612396586,0.135948772563,0.00207501649857,0.00147298971812,0.028832534949
-115.245370161,21.6575633784,-96.0141165682,0.135083056603,0.00213487943014,0.00152504444122,0.0557123422623
-114.719810212,21.6451000576,-95.4306205148,0.134581363534,0.00175247589747,0.0012646317482,0.0568802952766
-114.199321679,21.6122126717,-94.9044333063,0.133834562285,0.0018538236618,0.00131206711133,0.0450762708982
-113.842061068,21.648981734,-94.5112537564,0.133516776597,0.00177502632141,0.00130512317022,0.0489786267281
-113.30101571,21.648184763,-93.9095563194,0.13265827625,0.00199604034424,0.0014467438062,0.0573577880859
-113.002224752,21.717627391,-93.4969311698,0.132253303893,0.00199155012767,0.00144569079081,0.0357068777084
-112.567297163,21.7375075338,-93.005702686,0.131714282176,0.00240300099055,0.00167564551036,0.0426744421323
-112.117158494,21.6358486312,-92.6188746473,0.130946589608,0.00194813807805,0.00138179461161,0.0637785593669
-111.796680005,21.7219540382,-92.2071423176,0.130568835089,0.00173034270604,0.00126772125562,0.0545863111814
-111.494939205,21.7051199234,-91.8996256343,0.13008995703,0.00182255109151,0.00132856766383,0.0342706640561
-111.217063393,21.7811201233,-91.4896388219,0.129647407082,0.00200599431992,0.00156010190646,0.0557181636492
-110.860274644,21.7529933335,-91.1543404956,0.129099704925,0.00181194146474,0.00131359696388,0.0478481054306
-110.631507343,21.7827137908,-90.8731184879,0.128764128352,0.00185827414195,0.00133707125982,0.0290721654892
-110.362998142,21.8461681667,-90.5322698439,0.128475148878,0.00176803270976,0.00126966834068,0.0564007759094
-110.219674509,21.8082456075,-90.4263476926,0.128279387494,0.00189510981242,0.00138134757678,0.0572903553645
-109.951464799,21.8406155545,-90.0923127472,0.127772769732,0.00178474187851,0.00129449367523,0.0385868350665
-109.688549902,21.8684643414,-89.7860248301,0.127416681381,0.00181488196055,0.00133316715558,0.0552443464597
-109.526129097,21.9086907772,-89.5655054158,0.12716522074,0.00174965461095,0.00128089388212,0.0544240673383
-109.342440981,21.8936525403,-89.4060573011,0.126892407909,0.00179000695546,0.00130360325178,0.0320237278938
-109.173130804,21.9400171744,-89.1840119507,0.126717546215,0.00174281994502,0.0012848675251,0.0571086208026
-108.942011227,21.953396178,-88.9118888728,0.126386200657,0.00181355079015,0.00136590997378,0.0617280602455
-108.689275261,21.9588705441,-88.6192548708,0.125960351405,0.00184690952301,0.0013795097669,0.0409422318141
-108.581164874,21.9964179345,-88.4791997432,0.125802279868,0.00177139043808,0.00130529205004,0.0429681539536
-108.393583213,21.9926359018,-88.2761267537,0.125527547197,0.0018319884936,0.00132372975349,0.0595790346464
-108.17989791,22.0132093169,-88.0324888276,0.125005131982,0.00178190072378,0.00131298104922,0.0508458813032
-107.999948881,21.9930637782,-87.8702800307,0.124796700414,0.00188708305359,0.00133929649989,0.0404477318128
-107.932776941,22.0901883888,-87.6923895488,0.12479829428,0.00177637736003,0.00128729144732,0.0568205714226
-107.747833178,22.0139640689,-87.6085848802,0.12447226977,0.0017551779747,0.00128115216891,0.0519477128983
-107.622513183,22.0830747294,-87.3809517474,0.124319540306,0.00179243087769,0.00130993127823,0.029752711455
-107.420755912,22.0448204863,-87.209237198,0.123893322247,0.00176099936167,0.00129180153211,0.0585037469864
-107.406386879,22.1413911208,-87.1028455722,0.123885712102,0.00181182225545,0.00129494071007,0.0571477413177
-107.195726656,22.0799308897,-86.947897928,0.123623643256,0.00191597143809,0.00140767296155,0.0435510277748
-107.134212142,22.058274192,-86.9008407105,0.123623559442,0.00174192587535,0.00129646062851,0.043855547905
-106.970168595,22.1554115254,-86.6365222542,0.123250368845,0.00176699956258,0.00127518177032,0.0526486237844
-106.935429832,22.0830103787,-86.694574175,0.123165071832,0.00195342302322,0.00145041942596,0.0356340408325
-106.780076683,22.1063174539,-86.5061761039,0.123017020184,0.00181341171265,0.00129659970601,0.0550782481829
-106.676599761,22.1894176192,-86.2900695045,0.122839480016,0.00170016288757,0.00126703580221,0.0623241265615
-106.529929063,22.1247450158,-86.1881965467,0.122489579456,0.00174218416214,0.00125901897748,0.04728470246
-106.376445441,22.1203234912,-86.0489539751,0.122338830093,0.00180957714717,0.00135215123494,0.0400091409683
-106.347774391,22.1589340903,-85.987966827,0.122301645707,0.00181972980499,0.00135165452957,0.05579662323
-106.135328809,22.1977626878,-85.7062181352,0.121944162972,0.00177296002706,0.001301775376,0.0371142625809
-106.158349196,22.1688350478,-85.7776631182,0.122169869068,0.00175458192825,0.00128295024236,0.0465343197187
-105.925866346,22.1981943795,-85.5029554594,0.121583103657,0.00169877211253,0.00125937660535,0.0614771644274
-105.844664323,22.2253932828,-85.3899198461,0.121366827366,0.00174115101496,0.00128972530365,0.0462012887001
-105.765319101,22.257357263,-85.2463782106,0.121307190245,0.00177846352259,0.0013454357783,0.042259434859
-105.650197008,22.2169080985,-85.1803891537,0.121236314506,0.00179509321849,0.00128987431526,0.0532006621361
-105.522608686,22.2666522884,-84.9961513253,0.120880789652,0.00183981657028,0.00131471951803,0.0346076289813
-105.484581452,22.2413628972,-84.9762925402,0.12081647924,0.00180045763652,0.00129719575246,0.0538340012232
-105.464775331,22.2515840358,-84.9632695634,0.120831851348,0.00189087788264,0.00141270955404,0.0631462335587
-105.293557206,22.253343538,-84.77965679,0.120552438419,0.00228969256083,0.00171860059102,0.0500136216482
-105.255088394,22.2571611645,-84.7357656114,0.120427303332,0.00208393732707,0.00150660673777,0.0301690896352
-105.069928216,22.2617953057,-84.5058886457,0.120137979126,0.00219567616781,0.00162612398465,0.0521343549093
-105.071835691,22.3255785508,-84.476947517,0.12020858281,0.00182314713796,0.00136815508207,0.0599465370178
-104.964761317,22.2748667268,-84.4159060143,0.119907807053,0.00206190347672,0.0014629761378,0.0447842677434
-104.843809324,22.3091052728,-84.2422826428,0.119765787578,0.00183335940043,0.00130635499954,0.0468399922053
-104.819375524,22.3013741059,-84.2206280233,0.119692861523,0.00182725985845,0.00135523080826,0.0577739278475
-104.678875444,22.3044183324,-84.081210968,0.119467692219,0.00181855758031,0.00132390856743,0.0509287317594
-104.606510456,22.3375818073,-83.9674391622,0.119289754264,0.00176654259364,0.00128650665283,0.0400681296984
-104.644458355,22.2884747303,-84.0709571338,0.119481215474,0.00174073378245,0.00128567218781,0.056733071804
-104.525146168,22.2893914155,-83.9690825758,0.119224265876,0.00173525015513,0.00128687421481,0.0637910366058
-104.369193666,22.3402076908,-83.7025981115,0.119069774552,0.00186363855998,0.00136832396189,0.0345309376717
-104.408479622,22.3812502913,-83.7405395551,0.119030504859,0.00177345673243,0.001295119524,0.048993686835
-104.290495121,22.3237376094,-83.6808032634,0.118903766197,0.00184243917465,0.00136390328407,0.0607609947522
-104.123681299,22.3202407121,-83.4856717794,0.118501593127,0.00185910860697,0.00139989455541,0.0537139773369
-104.18472074,22.3423232699,-83.5332139132,0.118690100186,0.00179719924927,0.00131464997927,0.0381009181341
-104.072821069,22.2979181042,-83.4737180713,0.118700286185,0.00175034999847,0.00128653645515,0.0538718700409
-104.031574644,22.3120752203,-83.4182953503,0.118535582704,0.00182616710663,0.0013049642245,0.0442318320274
-103.953207325,22.3479406105,-83.314056663,0.118313342957,0.00184144576391,0.00137363870939,0.0379304687182
-103.9147947,22.3370737777,-83.2783298031,0.118223313417,0.00177210569382,0.00131669640541,0.0636873245239
-103.85559212,22.3760921892,-83.1772071705,0.118226879758,0.00171428918839,0.00127074122429,0.0572353204091
-103.817908335,22.3155775443,-83.1934358567,0.118227052928,0.00175674756368,0.00128877162933,0.0306825240453
-103.758870666,22.3267386906,-83.1052669817,0.118065242341,0.0017471909523,0.00127398967743,0.0526589751244
-103.620469658,22.3180280569,-82.9720989183,0.117823325679,0.0021778345108,0.00152475635211,0.0502393047015
-103.557290468,22.3516426279,-82.8817855518,0.117690072302,0.00182497501373,0.00133995215098,0.0374819437663
-103.552292969,22.3989824431,-82.8132862215,0.117685500231,0.00179872910182,0.00130822261175,0.0568943222364
-103.500178762,22.3249647656,-82.8341141198,0.117696653765,0.00174371401469,0.00132336219152,0.0622796217601
-103.500881144,22.3765934962,-82.7890085836,0.117606305808,0.0018009742101,0.0013170838356,0.0457232991854
-103.466366429,22.341447263,-82.8135168295,0.117536099449,0.00204139947891,0.00145372748375,0.0410610437393
