ELBO, KL, Logp, SEM, Encoder Time, Decoder Time, Backward Time 
-354.983625999,32.140298848,-353.78087981,0.55852945542,0.0377808411916,0.00211457411448,0.0340864260991
-210.715068785,16.9466273415,-208.908754902,0.210798040062,0.00182735919952,0.00136719147364,0.0188715855281
-190.988422513,22.2316904924,-187.111306551,0.220310591676,0.00202864408493,0.00147922833761,0.0182884335518
-169.84238081,25.4289289197,-163.793691867,0.210072214793,0.00192914406459,0.00136142969131,0.0180643796921
-156.152000701,26.7228419873,-148.049613326,0.198117983037,0.00176244974136,0.00129741430283,0.017748037974
-149.095385583,27.0931082138,-139.121329842,0.188430729933,0.00214127699534,0.00150410334269,0.0183320045471
-144.512584788,26.8770052293,-132.874179655,0.182025064896,0.00180049737295,0.00132350126902,0.0178122917811
-141.24595019,26.6506013401,-127.972152544,0.176598065676,0.00176819165548,0.0013382434845,0.01783400774
-138.924614013,26.2911155576,-124.124707578,0.17239225621,0.00183967749278,0.00134783983231,0.0178575317065
-137.384582963,25.6601516576,-121.274376757,0.169293338295,0.00175168116887,0.00129141410192,0.0177195668221
-136.196694472,24.8443345508,-118.981966668,0.166061529533,0.00172692537308,0.00129816929499,0.0177597800891
-135.886924427,24.0168357412,-117.323591975,0.164053074641,0.00173131624858,0.00130085150401,0.0177320837975
-135.28793172,23.3144094204,-115.751712947,0.162067236345,0.0017120440801,0.00130393107732,0.0177202224731
-134.944309157,22.6389345464,-114.503969148,0.160684154101,0.00175452232361,0.00129083792369,0.017768740654
-134.683064355,21.9184300337,-113.468306267,0.159070212032,0.0018607378006,0.00131430228551,0.0177492698034
-133.685255253,21.5187266399,-112.166528623,0.157045314518,0.00175009171168,0.00129961967468,0.0177220503489
-132.120332764,21.6117252938,-110.50860744,0.1552785711,0.00175833702087,0.00129854679108,0.0177188118299
-130.546427813,21.6843293806,-108.862098432,0.153218816724,0.00186630090078,0.00136621793111,0.0179370244344
-129.11716021,21.7145186321,-107.4026416,0.151690356941,0.0017952521642,0.00134068727493,0.0178895990054
-127.757456517,21.670674194,-106.086782311,0.150026896683,0.00204753875732,0.00151592493057,0.0184908906619
-126.658881511,21.8454703839,-104.813411134,0.14893178389,0.00174685319265,0.00129282474518,0.0178117752075
-125.505699229,21.8152144405,-103.690484781,0.147673371154,0.00195918480555,0.00140390793482,0.0182485580444
-124.433965943,21.8135461663,-102.620419776,0.146154272212,0.00195101896922,0.00147610902786,0.0183645486832
-123.410192509,21.8505172642,-101.559675239,0.145201206784,0.00191875298818,0.00139898061752,0.0180355906487
-122.465454717,21.8542594283,-100.611195316,0.14389570377,0.00187100966771,0.0014267762502,0.0181422630946
-121.643552445,21.8627976382,-99.7807548133,0.143057706768,0.00182384252548,0.00130619605382,0.0178945859273
-120.844410268,21.8516278734,-98.9927823887,0.14225165611,0.00236115852992,0.00163916746775,0.0189031759898
-120.144145133,21.8968747185,-98.2472704199,0.141567469348,0.00229501724243,0.002059618632,0.0189604957898
-119.59484023,21.9119280272,-97.6829122047,0.140856635691,0.00190673271815,0.00136371453603,0.0192013581594
-119.076835105,21.8712289724,-97.2056061663,0.140514090683,0.00182670354843,0.00128718217214,0.0304640134176
-118.52668743,21.8822416574,-96.6444457774,0.139547174763,0.00185036659241,0.00133081277212,0.0227636297544
-118.046555192,21.8810797755,-96.1654754108,0.139139383365,0.00184174378713,0.00132222970327,0.0204962690671
-117.592783803,21.8935806823,-95.6992031302,0.13854633436,0.00197299321493,0.00136375427246,0.0182852347692
-117.185919443,21.9331326389,-95.252786815,0.13777034549,0.00204126040141,0.00149561961492,0.0186995267868
-116.686782059,21.996286291,-94.6904957599,0.13739499077,0.00181283553441,0.00130250056585,0.0268581906954
-116.371340205,21.9933744653,-94.3779657231,0.136835252847,0.00206549962362,0.00154139598211,0.0419033567111
-115.927513328,21.9427050399,-93.9848082634,0.136377748847,0.00183876355489,0.00126296281815,0.0394830107689
-115.588381104,22.0495467986,-93.5388343185,0.135853858126,0.00198497374852,0.00136115153631,0.0402940511703
-115.194049805,22.0349686711,-93.1590811292,0.135435340797,0.00193607807159,0.00143676996231,0.0442810058594
