ELBO, KL, Logp, SEM, Encoder Time, Decoder Time, Backward Time 
-67.1466827712,14.8949902675,-66.2177240709,0.052414131291,0.0234338215419,0.00764734404428,0.419868650891
-3.83295594087,31.1364889225,3.00584292242,0.0344339755857,0.00286515553792,0.00393142586663,0.408057689667
22.03752024,40.713436999,35.3697658677,0.038411891819,0.00288968994504,0.00402975082397,0.409062941869
27.6047185964,43.285368614,46.4757414164,0.034399890055,0.00276777857826,0.00379642986116,0.408695641018
26.2756904547,41.6996713819,49.0285532769,0.0301382491908,0.00272875740415,0.00380941799709,0.408479770025
23.0873183616,38.2899744049,48.1814469892,0.0243562885391,0.00311077208746,0.00429549103691,0.409233706338
24.3346898044,36.084548601,53.9509369733,0.0250233426021,0.00294369742984,0.00428604511988,0.409267698015
23.2140373709,34.4184302226,55.2465277443,0.0248860809578,0.00280065763564,0.00388545081729,0.409730218706
20.943474551,32.1519358124,53.0722026719,0.0239310408853,0.0028776327769,0.0038967075802,0.409783158984
22.3115004487,30.6190155088,52.9305159563,0.0250943550779,0.00278883888608,0.00378638222104,0.408036583946
25.1056998947,29.964301703,55.0700015974,0.0252945596954,0.00273040362767,0.00381856305259,0.409332627342
25.8412412045,29.9400756154,55.7813168193,0.0263368276563,0.0027426310948,0.00383757977259,0.409715311868
29.9894672575,29.4521747102,59.4416419681,0.0254845438164,0.00284907931373,0.00426066489447,0.409632773626
32.4478539092,30.6262148073,63.0740687182,0.0288684024666,0.0028270653316,0.00400253136953,0.410398551396
33.087942953,30.5810874967,63.669030448,0.0271505447883,0.00281600725083,0.00402695792062,0.409514188766
29.3889058981,30.2359965293,59.6249024278,0.0293286437405,0.00297947156997,0.00426489398593,0.411009833926
34.4627728721,29.3073038276,63.7700766998,0.0271082982945,0.00296262332371,0.00394398257846,0.408738647188
35.4375906439,29.5524237416,64.9900143864,0.0272730954476,0.00294184684753,0.00398913451603,0.409060194379
