{'--batchsize': '8192',
 '--device': '0',
 '--dump-every': '900',
 '--help': False,
 '--nhidden': '256',
 '--nlatent': '16',
 '--runtime': '3600',
 '--time-print': '1',
 '--time-sample': '120',
 '--vae-samples': '25',
 '--vis': None,
 '-o': 'vae_25',
 '<data.mat>': '../data/MSRC12-X-d60.mat'}
Using chainer version 1.22.0
702551 instances, 60 dimensions
256 hidden dimensions
16 latent VAE dimensions
Using 25 VAE samples per instance
Using a batchsize of 8192 instances
   1.9s of 3600.0s  [1] batch 2, E[obj] nan,  8460.55 S/s, 16384 total
   3.6s of 3600.0s  [2] batch 4, E[obj] nan,  9858.04 S/s, 32768 total
   5.1s of 3600.0s  [3] batch 6, E[obj] nan,  10580.88 S/s, 49152 total
   6.7s of 3600.0s  [4] batch 8, E[obj] nan,  10592.11 S/s, 65536 total
   8.3s of 3600.0s  [5] batch 10, E[obj] nan,  10287.92 S/s, 81920 total
   9.8s of 3600.0s  [6] batch 12, E[obj] nan,  10606.82 S/s, 98304 total
   11.4s of 3600.0s  [7] batch 14, E[obj] nan,  10708.59 S/s, 114688 total
   12.9s of 3600.0s  [8] batch 16, E[obj] nan,  10563.97 S/s, 131072 total
   14.5s of 3600.0s  [9] batch 18, E[obj] nan,  10550.58 S/s, 147456 total
   16.0s of 3600.0s  [10] batch 20, E[obj] nan,  10744.35 S/s, 163840 total
   17.5s of 3600.0s  [11] batch 22, E[obj] nan,  10700.43 S/s, 180224 total
   19.1s of 3600.0s  [12] batch 24, E[obj] nan,  10622.53 S/s, 196608 total
   20.6s of 3600.0s  [13] batch 26, E[obj] nan,  10690.27 S/s, 212992 total
   22.1s of 3600.0s  [14] batch 28, E[obj] nan,  10667.86 S/s, 229376 total
   23.7s of 3600.0s  [15] batch 30, E[obj] nan,  10633.41 S/s, 245760 total
   25.2s of 3600.0s  [16] batch 32, E[obj] nan,  10477.06 S/s, 262144 total
   26.8s of 3600.0s  [17] batch 34, E[obj] nan,  10689.51 S/s, 278528 total
   28.3s of 3600.0s  [18] batch 36, E[obj] nan,  10557.86 S/s, 294912 total
   29.8s of 3600.0s  [19] batch 38, E[obj] nan,  10735.58 S/s, 311296 total
   31.4s of 3600.0s  [20] batch 40, E[obj] nan,  10626.73 S/s, 327680 total
   32.9s of 3600.0s  [21] batch 42, E[obj] nan,  10718.10 S/s, 344064 total
   34.4s of 3600.0s  [22] batch 44, E[obj] nan,  10726.52 S/s, 360448 total
   36.0s of 3600.0s  [23] batch 46, E[obj] nan,  10691.58 S/s, 376832 total
   37.5s of 3600.0s  [24] batch 48, E[obj] nan,  10637.36 S/s, 393216 total
   39.1s of 3600.0s  [25] batch 50, E[obj] nan,  10655.93 S/s, 409600 total
   40.6s of 3600.0s  [26] batch 52, E[obj] nan,  10607.37 S/s, 425984 total
   42.2s of 3600.0s  [27] batch 54, E[obj] nan,  10330.83 S/s, 442368 total
   43.7s of 3600.0s  [28] batch 56, E[obj] nan,  10685.26 S/s, 458752 total
   45.3s of 3600.0s  [29] batch 58, E[obj] nan,  10598.91 S/s, 475136 total
   46.8s of 3600.0s  [30] batch 60, E[obj] nan,  10672.86 S/s, 491520 total
   48.4s of 3600.0s  [31] batch 62, E[obj] nan,  10421.66 S/s, 507904 total
   49.9s of 3600.0s  [32] batch 64, E[obj] nan,  10727.41 S/s, 524288 total
   51.4s of 3600.0s  [33] batch 66, E[obj] nan,  10592.33 S/s, 540672 total
   53.0s of 3600.0s  [34] batch 68, E[obj] nan,  10644.46 S/s, 557056 total
   54.5s of 3600.0s  [35] batch 70, E[obj] nan,  10477.02 S/s, 573440 total
   56.1s of 3600.0s  [36] batch 72, E[obj] nan,  10597.28 S/s, 589824 total
   57.6s of 3600.0s  [37] batch 74, E[obj] nan,  10673.76 S/s, 606208 total
   59.2s of 3600.0s  [38] batch 76, E[obj] nan,  10533.30 S/s, 622592 total
   60.7s of 3600.0s  [39] batch 78, E[obj] nan,  10538.79 S/s, 638976 total
   62.3s of 3600.0s  [40] batch 80, E[obj] nan,  10696.43 S/s, 655360 total
   63.8s of 3600.0s  [41] batch 82, E[obj] nan,  10675.04 S/s, 671744 total
   65.4s of 3600.0s  [42] batch 84, E[obj] nan,  10601.65 S/s, 688128 total
   66.9s of 3600.0s  [43] batch 86, E[obj] nan,  10690.51 S/s, 704512 total
   68.4s of 3600.0s  [44] batch 88, E[obj] nan,  10726.16 S/s, 720896 total
   70.0s of 3600.0s  [45] batch 90, E[obj] nan,  10548.82 S/s, 737280 total
   71.5s of 3600.0s  [46] batch 92, E[obj] nan,  10571.59 S/s, 753664 total
   73.1s of 3600.0s  [47] batch 94, E[obj] nan,  10621.57 S/s, 770048 total
   74.6s of 3600.0s  [48] batch 96, E[obj] nan,  10683.21 S/s, 786432 total
   76.1s of 3600.0s  [49] batch 98, E[obj] nan,  10688.91 S/s, 802816 total
   77.7s of 3600.0s  [50] batch 100, E[obj] nan,  10570.81 S/s, 819200 total
   79.2s of 3600.0s  [51] batch 102, E[obj] nan,  10648.90 S/s, 835584 total
   80.8s of 3600.0s  [52] batch 104, E[obj] nan,  10588.15 S/s, 851968 total
   82.3s of 3600.0s  [53] batch 106, E[obj] nan,  10418.22 S/s, 868352 total
   83.9s of 3600.0s  [54] batch 108, E[obj] nan,  10704.03 S/s, 884736 total
   85.4s of 3600.0s  [55] batch 110, E[obj] nan,  10620.12 S/s, 901120 total
   86.9s of 3600.0s  [56] batch 112, E[obj] nan,  10671.11 S/s, 917504 total
   88.5s of 3600.0s  [57] batch 114, E[obj] nan,  10539.55 S/s, 933888 total
   90.0s of 3600.0s  [58] batch 116, E[obj] nan,  10686.54 S/s, 950272 total
   91.6s of 3600.0s  [59] batch 118, E[obj] nan,  10606.69 S/s, 966656 total
   93.1s of 3600.0s  [60] batch 120, E[obj] nan,  10640.36 S/s, 983040 total
   94.7s of 3600.0s  [61] batch 122, E[obj] nan,  10598.60 S/s, 999424 total
   96.2s of 3600.0s  [62] batch 124, E[obj] nan,  10366.05 S/s, 1015808 total
   97.8s of 3600.0s  [63] batch 126, E[obj] nan,  10706.24 S/s, 1032192 total
   99.3s of 3600.0s  [64] batch 128, E[obj] nan,  10648.09 S/s, 1048576 total
   100.9s of 3600.0s  [65] batch 130, E[obj] nan,  10588.86 S/s, 1064960 total
   102.4s of 3600.0s  [66] batch 132, E[obj] nan,  10713.60 S/s, 1081344 total
   103.9s of 3600.0s  [67] batch 134, E[obj] nan,  10668.74 S/s, 1097728 total
   105.5s of 3600.0s  [68] batch 136, E[obj] nan,  10559.74 S/s, 1114112 total
   107.0s of 3600.0s  [69] batch 138, E[obj] nan,  10694.26 S/s, 1130496 total
   108.6s of 3600.0s  [70] batch 140, E[obj] nan,  10597.60 S/s, 1146880 total
   110.1s of 3600.0s  [71] batch 142, E[obj] nan,  10663.23 S/s, 1163264 total
   111.7s of 3600.0s  [72] batch 144, E[obj] nan,  10450.98 S/s, 1179648 total
   113.2s of 3600.0s  [73] batch 146, E[obj] nan,  10647.78 S/s, 1196032 total
   114.7s of 3600.0s  [74] batch 148, E[obj] nan,  10646.15 S/s, 1212416 total
   116.3s of 3600.0s  [75] batch 150, E[obj] nan,  10544.42 S/s, 1228800 total
   117.9s of 3600.0s  [76] batch 152, E[obj] nan,  10432.35 S/s, 1245184 total
   119.4s of 3600.0s  [77] batch 154, E[obj] nan,  10617.64 S/s, 1261568 total
   # sampling
   120.9s of 3600.0s  [78] batch 156, E[obj] nan,  10589.63 S/s, 1277952 total
   122.5s of 3600.0s  [79] batch 158, E[obj] nan,  10655.17 S/s, 1294336 total
   124.0s of 3600.0s  [80] batch 160, E[obj] nan,  10608.00 S/s, 1310720 total
   125.6s of 3600.0s  [81] batch 162, E[obj] nan,  10626.88 S/s, 1327104 total
   127.1s of 3600.0s  [82] batch 164, E[obj] nan,  10672.02 S/s, 1343488 total
   128.7s of 3600.0s  [83] batch 166, E[obj] nan,  10458.95 S/s, 1359872 total
   130.2s of 3600.0s  [84] batch 168, E[obj] nan,  10605.14 S/s, 1376256 total
